case_id,description,hc,co,co2,o2,nox,lambda_analyser,stft_b1,ltft_b1,stft_b2,ltft_b2,obd_lambda,o2_upstream_classification,o2_downstream_voltage,map,maf,rpm,ect,vehicle_speed,fuel_pressure,dtcs,ff_ect,ff_rpm,ff_load,ff_map,ff_stft_b1,ff_ltft_b1,ff_dtcs,engine_temp,primary_symptom,fuel_type,induction_type,altitude_band,emission_class,mileage_bracket,oil_consumption,ignition_age,bank_config,expected_top_fault,expected_top_fault_family,expected_state,expected_confidence_min,expected_confidence_max,expected_demotion_note_contains,expected_perception_gap,reasoning,hc_2500,co_2500,co2_2500,o2_2500,nox_2500,lambda_2500
CSV-066,Perfect gas; P0300 ECU hallucination,5,0.05,15.5,0.1,20,1.0,0,0,,,1.0,,,,,,,,,P0300,,,,,,,,normal,running_rough,petrol,,,,,,,single,Ghost_Misfire_Electrical_Noise,misfire,named_fault,0.83,0.99,,true,"HC 5 ppm: clean burn (≤50 ppm post-cat ceiling per master_gas_guide §2). CO 0.05%: consistent with stoich or post-cat clean-up (≤0.5%). CO2 15.5%: at or near the efficient ceiling (≥14.5% with cat). O2 0.1%: low — rich consumed the oxygen, or perfect stoich. NOx 20 ppm: low — rich quench or idle without thermal load. λ 1: in the catalyst window (0.97–1.03).",,,,,,
CSV-068,Gas perfect; false lean DTC,10,0.08,15.2,0.3,35,1.0,2,-2,,,1.0,,,,,,,,,P0171,,,,,,,,normal,,petrol,,,,,,,single,Ghost_Lean_DTC_False_Trigger,lean_condition,named_fault,0.70,0.90,,false,"HC 10 ppm: clean burn (≤50 ppm post-cat ceiling per master_gas_guide §2). CO 0.08%: consistent with stoich or post-cat clean-up (≤0.5%). CO2 15.2%: at or near the efficient ceiling (≥14.5% with cat). O2 0.3%: low — rich consumed the oxygen, or perfect stoich. NOx 35 ppm: low — rich quench or idle without thermal load. λ 1: in the catalyst window (0.97–1.03).",,,,,,
CSV-072,Gas perfect; P0606 ROM failure,15,0.1,15.0,0.2,25,1.0,0,0,,,1.0,,,,,,,,,P0606,,,,,,,,normal,,petrol,,,,,,,single,ECU_Internal_Checksum_Error,ecu_fault,named_fault,0.85,0.99,,true,"HC 15 ppm: clean burn (≤50 ppm post-cat ceiling per master_gas_guide §2). CO 0.1%: consistent with stoich or post-cat clean-up (≤0.5%). CO2 15%: at or near the efficient ceiling (≥14.5% with cat). O2 0.2%: low — rich consumed the oxygen, or perfect stoich. NOx 25 ppm: low — rich quench or idle without thermal load. λ 1: in the catalyst window (0.97–1.03).",,,,,,
CSV-081,INTENTIONAL INVALID sentinel,0,0.01,20.5,0.0,0,0.9998,0,0,,,0.0,,,,,,,,,,,,,,,,,normal,,petrol,,,,,,,single,INVALID_CO2_OVER_RANGE,invalid_input,invalid_input,0.0,0.35,,false,CO2 reading exceeds the ~16% theoretical maximum for gasoline (master_gas_guide §6 sanity rail). NDIR bench calibration drift or analyser saturation; recalibrate against reference gas before any diagnosis. All gas channels are suspect until calibration is verified.,,,,,,
CSV-083,INTENTIONAL INVALID sentinel,0,0.0,0.0,21.5,0,,0,0,,,0.0,,,,,,,,,,,,,,,,,normal,,petrol,,,,,,,single,INVALID_PROBE_IN_OPEN_AIR,invalid_input,invalid_input,0.0,0.35,,false,"HC ~0, CO ~0, CO2 ~0, O2 ≈ 20.9% (ambient air) — sample is atmospheric; probe is not in the tailpipe. Master_gas_guide §2 O2 rail: 'O2 ≈ 20.9% with HC=0, CO=0, CO2 ≈ 0.04% → no combustion'. The validator must reject this as INVALID before any inference; the open-air sentinel exists to prove probe placement.",,,,,,
CSV-095,High O2 + lean = air ingress,20,0.1,15.0,6.0,20,1.3,20,10,,,1.0,,,,,,,,,P0171,,,,,,,,normal,,petrol,,,,,,,single,Exhaust_Air_Leak_Pre_Cat,exhaust_leak,warning,0.70,0.90,,true,"HC 20 ppm: clean burn (≤50 ppm post-cat ceiling per master_gas_guide §2). CO 0.1%: consistent with stoich or post-cat clean-up (≤0.5%). CO2 15%: at or near the efficient ceiling (≥14.5% with cat). O2 6%: severe lean / large misfire / air leak (>4%). NOx 20 ppm: low — rich quench or idle without thermal load. λ 1.3: cranking / no-combustion shape (master_gas_guide §3 rule 8 — route to non-starter pipeline); OBD λ=1 (Δ=+0.30) — ECU sees richer than chemistry, perception-contradiction symptom (rule 7). Pattern: CO≈0 + O2↑ + HC normal → exhaust/sample air leak (master_gas_guide §8.1 row 2), not true lean.",,,,,,
CSV-100,λ corrected 0.700→0.750,400,8.0,8.0,0.1,10,0.75,-25,-15,,,0.75,,,,,,,,,P0172,,,,,,,,normal,,petrol,,,,,,,single,Severe_Intake_Restriction,lean_condition,named_fault,0.80,0.99,,false,"HC 400 ppm: real combustion problem (250–800 ppm = lean misfire, vacuum leak, or ignition fault). CO 8%: very rich (>3% — expect concurrent HC rise once rich-misfire threshold is crossed). CO2 8%: severely depressed (<11% — large rich/lean misfire or sample dilution). O2 0.1%: low — rich consumed the oxygen, or perfect stoich. NOx 10 ppm: low — rich quench or idle without thermal load. λ 0.75: rich (≤0.95) — chemistry says excess fuel. Pattern: CO↑ + O2↓ → classic rich (rule 1).",,,,,,
REAL-001,Cranking only; near-zero combustion,20200,0.006,0.16,19.73,14,1.14,0,0,,,0.0,,,,,,,,,,,,,,,,,normal,,petrol,,,,,,,single,No_Spark_Coil_Failure,non_starter,warning,0.85,0.99,,true,"HC 20200 ppm: extreme — almost always mechanical (rings, valve sealing) or hard ignition fault (>2000 ppm). CO 0.006%: consistent with stoich or post-cat clean-up (≤0.5%). CO2 0.16%: atmospheric — no combustion product (cranking / probe in air). O2 19.73%: severe lean / large misfire / air leak (>4%). NOx 14 ppm: low — rich quench or idle without thermal load. λ 1.14: lean (≥1.05) — Brettschneider chemistry; OBD λ=0 (Δ=+1.14) — ECU sees richer than chemistry, perception-contradiction symptom (rule 7). Pattern: HC↑ + O2↑ + CO≈0 → lean misfire (rule 2): the fuel never lit.",,,,,,
REAL-002,No-start lean; fuel starvation,2937,0.025,2.98,16.75,141,3.05,0,0,,,0.0,,,,,,,,,,,,,,,,,normal,non_starter,petrol,,,,,,,single,Lean_No_Start_Fuel_Pump,lean_condition,named_fault,0.85,0.99,,true,"HC 2937 ppm: extreme — almost always mechanical (rings, valve sealing) or hard ignition fault (>2000 ppm). CO 0.025%: consistent with stoich or post-cat clean-up (≤0.5%). CO2 2.98%: severely depressed (<11% — large rich/lean misfire or sample dilution). O2 16.75%: severe lean / large misfire / air leak (>4%). NOx 141 ppm: moderate idle/light-load combustion temperature. λ 3.05: cranking / no-combustion shape (master_gas_guide §3 rule 8 — route to non-starter pipeline); OBD λ=0 (Δ=+3.05) — ECU sees richer than chemistry, perception-contradiction symptom (rule 7). Pattern: HC↑ + O2↑ + CO≈0 → lean misfire (rule 2): the fuel never lit.",,,,,,
REAL-003,Extreme cold enrichment; flood,26710,3.24,1.16,14.54,30,0.63,0,0,,,0.0,,,,,,,,,,,,,,,,,cold,non_starter,petrol,,,,,,,single,Rich_No_Start_ECT_Sensor,non_starter,named_fault,0.85,0.99,,true,"HC 26710 ppm: extreme — almost always mechanical (rings, valve sealing) or hard ignition fault (>2000 ppm). CO 3.24%: very rich (>3% — expect concurrent HC rise once rich-misfire threshold is crossed). CO2 1.16%: severely depressed (<11% — large rich/lean misfire or sample dilution). O2 14.54%: severe lean / large misfire / air leak (>4%). NOx 30 ppm: low — rich quench or idle without thermal load. λ 0.63: rich (≤0.95) — chemistry says excess fuel; OBD λ=0 (Δ=+0.63) — ECU sees richer than chemistry, perception-contradiction symptom (rule 7). Pattern: HC↑ + O2↑ + CO↑ → rich misfire (rule 3): fuel dumped, partial burn.",,,,,,
REAL-004,NOx=13ppm key EGR discriminator,1663,2.27,12.52,2.71,13,0.99,0,0,,,0.0,,,,,,,,,P0401,,,,,,,,normal,,petrol,,,,,,,single,EGR_Stuck_Open_Idle,lean_condition,named_fault,0.85,0.99,,true,"HC 1663 ppm: severe misfire / oil burn / catalyst failure band (>800 ppm). CO 2.27%: clear rich (1.5–3% — combustion ran out of oxygen). CO2 12.52%: depressed — real combustion deficit (rich, lean-misfire, or dilution). O2 2.71%: elevated alongside high CO — rich-misfire fingerprint (fuel dumped, never lit). NOx 13 ppm: low — rich quench or idle without thermal load. λ 0.99: in the catalyst window (0.97–1.03); OBD λ=0 (Δ=+0.99) — ECU sees richer than chemistry, perception-contradiction symptom (rule 7). Pattern: HC↑ + O2↑ + CO↑ → rich misfire (rule 3): fuel dumped, partial burn.",,,,,,
REAL-005,Cat failing; NOx>>1000,166,1.26,13.81,0.43,1183,0.979,0,0,,,0.0,,,,,,,,,P0420,,,,,,,,normal,,petrol,,,,,,,single,Dead_Catalyst_NOx_Breakthrough,catalyst_failure,named_fault,0.85,0.99,,true,"HC 166 ppm: minor inefficiency band (50–250 ppm — pre-cat normal or marginal misfire). CO 1.26%: mild rich / pre-cat normal (0.5–1.5%). CO2 13.81%: healthy without-cat reference (13–14.5%). O2 0.43%: low — rich consumed the oxygen, or perfect stoich. NOx 1183 ppm: elevated — hot lean burn or stuck-open EGR fingerprint. λ 0.979: in the catalyst window (0.97–1.03); OBD λ=0 (Δ=+0.98) — ECU sees richer than chemistry, perception-contradiction symptom (rule 7).",,,,,,
MECH-001,HC persists at 2500rpm; oil burn,1200,0.8,13.5,1.2,80,0.99,2,1,,,1.0,,,,,,,,,,,,,,,,,normal,,petrol,,,,,high,,single,Worn_Piston_Rings_Valve_Seals,mechanical_wear,named_fault,0.75,0.95,,false,HC 1200 ppm: severe misfire / oil burn / catalyst failure band (>800 ppm). CO 0.8%: mild rich / pre-cat normal (0.5–1.5%). CO2 13.5%: healthy without-cat reference (13–14.5%). O2 1.2%: typical pre-cat residual (0.5–1.5%). NOx 80 ppm: low — rich quench or idle without thermal load. λ 0.99: in the catalyst window (0.97–1.03).,,,,,,
MECH-002,Coolant in combustion; CO2 depressed,800,0.9,11.5,2.8,40,1.04,5,3,,,1.05,,,,,,,,,,,,,,,,,normal,,petrol,,,,,high,,single,Head_Gasket_Failure,mechanical_wear,named_fault,0.73,0.93,,false,"HC 800 ppm: real combustion problem (250–800 ppm = lean misfire, vacuum leak, or ignition fault). CO 0.9%: mild rich / pre-cat normal (0.5–1.5%). CO2 11.5%: depressed — real combustion deficit (rich, lean-misfire, or dilution). O2 2.8%: clearly elevated (1.5–4%) — lean tail or misfire. NOx 40 ppm: low — rich quench or idle without thermal load. λ 1.04: borderline lean (1.03–1.05).",,,,,,
MECH-003,Lean; high NOx from combustion temp,180,0.1,13.2,3.8,200,1.18,18,12,,,1.15,,,,,,,,,P0171,,,,,,,,normal,,petrol,,,,,,,single,Intake_Vacuum_Leak,lean_condition,named_fault,0.77,0.97,,false,HC 180 ppm: minor inefficiency band (50–250 ppm — pre-cat normal or marginal misfire). CO 0.1%: consistent with stoich or post-cat clean-up (≤0.5%). CO2 13.2%: healthy without-cat reference (13–14.5%). O2 3.8%: clearly elevated (1.5–4%) — lean tail or misfire. NOx 200 ppm: moderate idle/light-load combustion temperature. λ 1.18: lean (≥1.05) — Brettschneider chemistry.,,,,,,
MECH-004,Retarded timing; HC/CO high,280,1.2,12.8,1.8,35,1.0,3,2,,,1.0,,,,,,,,,,,,,,,,,normal,,petrol,,,,,,,single,Cam_Timing_Retard_Late,cam_timing,named_fault,0.70,0.90,,false,"HC 280 ppm: real combustion problem (250–800 ppm = lean misfire, vacuum leak, or ignition fault). CO 1.2%: mild rich / pre-cat normal (0.5–1.5%). CO2 12.8%: depressed — real combustion deficit (rich, lean-misfire, or dilution). O2 1.8%: clearly elevated (1.5–4%) — lean tail or misfire. NOx 35 ppm: low — rich quench or idle without thermal load. λ 1: in the catalyst window (0.97–1.03). Pattern: HC↑ + O2↑ + CO↑ → rich misfire (rule 3): fuel dumped, partial burn.",,,,,,
MECH-005,GDI deposits; HC spikes cold-start,850,0.4,13.5,1.0,65,0.98,-3,-2,,,0.99,,,,,,,,,,,,,,,,,cold,,petrol,gdi,,,,,,single,GDI_Carbon_Intake_Buildup,lean_condition,named_fault,0.67,0.87,,false,HC 850 ppm: severe misfire / oil burn / catalyst failure band (>800 ppm). CO 0.4%: consistent with stoich or post-cat clean-up (≤0.5%). CO2 13.5%: healthy without-cat reference (13–14.5%). O2 1%: typical pre-cat residual (0.5–1.5%). NOx 65 ppm: low — rich quench or idle without thermal load. λ 0.98: in the catalyst window (0.97–1.03).,,,,,,
MECH-006,Weak cylinders; CO2<12%,550,0.8,11.8,3.2,25,1.09,8,6,,,1.08,,,,,,,,,,,,,,,,,normal,,petrol,,,,,,,single,Low_Compression_Multi_Cylinder,mechanical_wear,named_fault,0.72,0.92,,false,"HC 550 ppm: real combustion problem (250–800 ppm = lean misfire, vacuum leak, or ignition fault). CO 0.8%: mild rich / pre-cat normal (0.5–1.5%). CO2 11.8%: depressed — real combustion deficit (rich, lean-misfire, or dilution). O2 3.2%: clearly elevated (1.5–4%) — lean tail or misfire. NOx 25 ppm: low — rich quench or idle without thermal load. λ 1.09: lean (≥1.05) — Brettschneider chemistry.",,,,,,
ECU-001,Physical rich; ECU perceives lean,150,3.5,13.0,0.4,40,0.88,25,15,,,1.15,,,,,,,,,P0171,,,,,,,,normal,,petrol,,,,,,,single,ECU_False_Lean_Logic_Inversion,ecu_fault,named_fault,0.80,0.99,,true,"HC 150 ppm: minor inefficiency band (50–250 ppm — pre-cat normal or marginal misfire). CO 3.5%: very rich (>3% — expect concurrent HC rise once rich-misfire threshold is crossed). CO2 13%: healthy without-cat reference (13–14.5%). O2 0.4%: low — rich consumed the oxygen, or perfect stoich. NOx 40 ppm: low — rich quench or idle without thermal load. λ 0.88: rich (≤0.95) — chemistry says excess fuel; OBD λ=1.15 (Δ=-0.27) — ECU sees leaner than chemistry, perception-contradiction symptom (rule 7). Pattern: CO↑ + O2↓ → classic rich (rule 1).",,,,,,
ECU-002,Gas clean; ECT/MAP/TPS impossible,15,0.2,14.8,0.3,35,1.01,0,0,,,1.0,,,,,,,,,P0113,,,,,,,,normal,,petrol,,,,,,,single,ECU_5V_Reference_Drift,ecu_fault,named_fault,0.73,0.93,,false,"HC 15 ppm: clean burn (≤50 ppm post-cat ceiling per master_gas_guide §2). CO 0.2%: consistent with stoich or post-cat clean-up (≤0.5%). CO2 14.8%: at or near the efficient ceiling (≥14.5% with cat). O2 0.3%: low — rich consumed the oxygen, or perfect stoich. NOx 35 ppm: low — rich quench or idle without thermal load. λ 1.01: in the catalyst window (0.97–1.03).",,,,,,
ECU-003,One cylinder dead; HC+O2 elevation,120,1.8,13.5,1.2,45,1.02,0,0,,,1.0,,,,,,,,,P0201,,,,,,,,normal,,petrol,,,,,,,single,ECU_Injector_Driver_Fail,ecu_fault,named_fault,0.75,0.95,,true,HC 120 ppm: minor inefficiency band (50–250 ppm — pre-cat normal or marginal misfire). CO 1.8%: clear rich (1.5–3% — combustion ran out of oxygen). CO2 13.5%: healthy without-cat reference (13–14.5%). O2 1.2%: typical pre-cat residual (0.5–1.5%). NOx 45 ppm: low — rich quench or idle without thermal load. λ 1.02: in the catalyst window (0.97–1.03).,,,,,,
ECU-007,Perfect gas; alternator ripple,5,0.05,15.5,0.1,20,1.0,0,0,,,1.0,,,,,,,,,P0300,,,,,,,,normal,running_rough,petrol,,,,,,,single,ECU_Ghost_Misfire_Hallucination,misfire,named_fault,0.83,0.99,,true,"HC 5 ppm: clean burn (≤50 ppm post-cat ceiling per master_gas_guide §2). CO 0.05%: consistent with stoich or post-cat clean-up (≤0.5%). CO2 15.5%: at or near the efficient ceiling (≥14.5% with cat). O2 0.1%: low — rich consumed the oxygen, or perfect stoich. NOx 20 ppm: low — rich quench or idle without thermal load. λ 1: in the catalyst window (0.97–1.03).",,,,,,
ECU-008,Misfire in gas; ECU 0 misfires,500,0.02,15.5,4.5,10,1.2,0,0,,,1.0,,,,,,,,,,,,,,,,,normal,running_rough,petrol,,,,,,,single,ECU_Misfire_Blindness_CKP,misfire,named_fault,0.77,0.97,,true,"HC 500 ppm: real combustion problem (250–800 ppm = lean misfire, vacuum leak, or ignition fault). CO 0.02%: consistent with stoich or post-cat clean-up (≤0.5%). CO2 15.5%: at or near the efficient ceiling (≥14.5% with cat). O2 4.5%: severe lean / large misfire / air leak (>4%). NOx 10 ppm: low — rich quench or idle without thermal load. λ 1.2: lean (≥1.05) — Brettschneider chemistry; OBD λ=1 (Δ=+0.20) — ECU sees richer than chemistry, perception-contradiction symptom (rule 7). Pattern: HC↑ + O2↑ + CO≈0 → lean misfire (rule 2): the fuel never lit.",,,,,,
ECU-009,Rich gas; STFT=0 = open loop,120,2.5,13.0,0.3,30,0.91,0,0,,,1.0,,,,,,,,,,,,,,,,,normal,,petrol,,,,,,,single,ECU_Corrupted_Adaptive_Open_Loop,ecu_fault,named_fault,0.70,0.90,,true,"HC 120 ppm: minor inefficiency band (50–250 ppm — pre-cat normal or marginal misfire). CO 2.5%: clear rich (1.5–3% — combustion ran out of oxygen). CO2 13%: healthy without-cat reference (13–14.5%). O2 0.3%: low — rich consumed the oxygen, or perfect stoich. NOx 30 ppm: low — rich quench or idle without thermal load. λ 0.91: rich (≤0.95) — chemistry says excess fuel; OBD λ=1 (Δ=-0.09) — ECU sees leaner than chemistry, perception-contradiction symptom (rule 7). Pattern: CO↑ + O2↓ → classic rich (rule 1).",,,,,,
TC-011,TC11 from diag.md; λ corrected 1.18→1.271,45,0.02,11.5,4.5,120,1.271,0,0,,,1.18,,,,,,,,,P0171,,,,,,,,normal,,petrol,,,,,,,single,Mechanical_Lean_Vacuum_Leak_TC,lean_condition,named_fault,0.55,0.75,,true,"HC 45 ppm: clean burn (≤50 ppm post-cat ceiling per master_gas_guide §2). CO 0.02%: consistent with stoich or post-cat clean-up (≤0.5%). CO2 11.5%: depressed — real combustion deficit (rich, lean-misfire, or dilution). O2 4.5%: severe lean / large misfire / air leak (>4%). NOx 120 ppm: moderate idle/light-load combustion temperature. λ 1.271: lean (≥1.05) — Brettschneider chemistry; OBD λ=1.18 (Δ=+0.09) — ECU sees richer than chemistry, perception-contradiction symptom (rule 7). Pattern: CO≈0 + O2↑ + HC normal → exhaust/sample air leak (master_gas_guide §8.1 row 2), not true lean.",,,,,,
TC-021,TC21: λ_gas corrected to Brettschneider 0.916; OBD λ=1.15 in OBD_Lambda,150,3.5,13.0,0.4,40,0.916,0,0,,,1.15,,,,,,,,,P0171,,,,,,,,normal,,petrol,,,,,,,single,ECU_Liar_False_Lean_TC,ecu_fault,named_fault,0.55,0.75,,true,"HC 150 ppm: minor inefficiency band (50–250 ppm — pre-cat normal or marginal misfire). CO 3.5%: very rich (>3% — expect concurrent HC rise once rich-misfire threshold is crossed). CO2 13%: healthy without-cat reference (13–14.5%). O2 0.4%: low — rich consumed the oxygen, or perfect stoich. NOx 40 ppm: low — rich quench or idle without thermal load. λ 0.916: rich (≤0.95) — chemistry says excess fuel; OBD λ=1.15 (Δ=-0.23) — ECU sees leaner than chemistry, perception-contradiction symptom (rule 7). Pattern: CO↑ + O2↓ → classic rich (rule 1).",,,,,,
TC-046,TC46: no lambda reported; gas pattern only,20,0.05,15.0,0.2,50,1.0072,10,-10,,,1.0,,,,,,,,,,,,,,,,,normal,,petrol,,,,,,,single,Lazy_O2_Sensor_Aging_TC,sensor_fault,named_fault,0.55,0.75,,false,"HC 20 ppm: clean burn (≤50 ppm post-cat ceiling per master_gas_guide §2). CO 0.05%: consistent with stoich or post-cat clean-up (≤0.5%). CO2 15%: at or near the efficient ceiling (≥14.5% with cat). O2 0.2%: low — rich consumed the oxygen, or perfect stoich. NOx 50 ppm: low — rich quench or idle without thermal load. λ 1.0072: in the catalyst window (0.97–1.03).",,,,,,
